account,signal,value,source,collected_at
SAP,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:15:24+00:00
Workday,ai_announce,7,SEC EDGAR: 1 AI-referencing filings (180d),2026-09-05T07:15:25+00:00
Snowflake,ai_announce,35,SEC EDGAR: 5 AI-referencing filings (180d),2026-09-05T07:15:25+00:00
Datadog,ai_announce,14,SEC EDGAR: 2 AI-referencing filings (180d),2026-09-05T07:15:26+00:00
Palantir,ai_announce,28,SEC EDGAR: 4 AI-referencing filings (180d),2026-09-05T07:15:26+00:00
Atlassian,ai_announce,14,SEC EDGAR: 2 AI-referencing filings (180d),2026-09-05T07:15:27+00:00
Intuit,ai_announce,35,SEC EDGAR: 5 AI-referencing filings (180d),2026-09-05T07:15:28+00:00
Shopify,ai_announce,35,SEC EDGAR: 5 AI-referencing filings (180d),2026-09-05T07:15:28+00:00
Uber,ai_announce,14,SEC EDGAR: 2 AI-referencing filings (180d),2026-09-05T07:15:29+00:00
NVIDIA,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:15:29+00:00
AMD,ai_announce,28,SEC EDGAR: 4 AI-referencing filings (180d),2026-09-05T07:15:30+00:00
Intel,ai_announce,14,SEC EDGAR: 2 AI-referencing filings (180d),2026-09-05T07:15:31+00:00
Broadcom,ai_announce,14,SEC EDGAR: 2 AI-referencing filings (180d),2026-09-05T07:15:31+00:00
Qualcomm,ai_announce,14,SEC EDGAR: 2 AI-referencing filings (180d),2026-09-05T07:15:33+00:00
Texas Instruments,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:15:34+00:00
Micron,ai_announce,70,SEC EDGAR: 10 AI-referencing filings (180d),2026-09-05T07:15:35+00:00
Dell Technologies,ai_announce,14,SEC EDGAR: 2 AI-referencing filings (180d),2026-09-05T07:15:37+00:00
HP Inc.,ai_announce,28,SEC EDGAR: 4 AI-referencing filings (180d),2026-09-05T07:15:37+00:00
Hewlett Packard Enterprise,ai_announce,63,SEC EDGAR: 9 AI-referencing filings (180d),2026-09-05T07:15:38+00:00
Applied Materials,ai_announce,14,SEC EDGAR: 2 AI-referencing filings (180d),2026-09-05T07:15:39+00:00
Marvell,ai_announce,35,SEC EDGAR: 5 AI-referencing filings (180d),2026-09-05T07:15:41+00:00
JPMorgan Chase,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:15:42+00:00
Bank of America,ai_announce,42,SEC EDGAR: 6 AI-referencing filings (180d),2026-09-05T07:15:44+00:00
Wells Fargo,ai_announce,28,SEC EDGAR: 4 AI-referencing filings (180d),2026-09-05T07:15:44+00:00
Citigroup,ai_announce,14,SEC EDGAR: 2 AI-referencing filings (180d),2026-09-05T07:15:46+00:00
Goldman Sachs,ai_announce,28,SEC EDGAR: 4 AI-referencing filings (180d),2026-09-05T07:15:47+00:00
Morgan Stanley,ai_announce,7,SEC EDGAR: 1 AI-referencing filings (180d),2026-09-05T07:15:48+00:00
U.S. Bancorp,ai_announce,0,SEC EDGAR: 0 AI-referencing filings (180d),2026-09-05T07:15:49+00:00
